area_id,map_level,map_name,map_id,map_source
ken_2_278,2,,sqNWYDHZZ6W,DHIS2
ken_2_279,2,,u7Gkh63FYe4,DHIS2
ken_2_280,2,,vznKK4IegIL,DHIS2
ken_2_281,2,,CeukNtGhW7J,DHIS2
ken_2_282,2,,E2DGjZRlwbY,DHIS2
ken_2_283,2,,ldZ10N9unC9,DHIS2
ken_2_284,2,,x6Z1sBeiyqQ,DHIS2
ken_2_285,2,,hJf4rt7cvI6,DHIS2
ken_2_286,2,,Taw0Zg7nArd,DHIS2
ken_2_287,2,,EmQRGVtvWy3,DHIS2
ken_2_288,2,,NHRktMsAkO1,DHIS2
ken_2_289,2,,msIc1uFAY6B,DHIS2
ken_2_290,2,,JKNaaTjVapG,DHIS2
ken_2_291,2,,XvpLXU47BKs,DHIS2
ken_2_292,2,,A34NiI4rgnf,DHIS2
ken_2_293,2,,i2Y2fyNoFyZ,DHIS2
ken_2_294,2,,CcTr4bcVGAG,DHIS2
ken_2_295,2,,G6PJ5kFVAuO,DHIS2
ken_2_296,2,,XAy1bjurhLU,DHIS2
ken_2_297,2,,yOaHQLOLd1H,DHIS2
ken_2_298,2,,f6EOn3xI9YH,DHIS2
ken_2_299,2,,e1J7R103h8I,DHIS2
ken_2_300,2,,jHmpQUlnkQk,DHIS2
ken_2_301,2,,qoLIT7y5f5c,DHIS2
ken_2_302,2,,GnixPSqaV6D,DHIS2
ken_2_303,2,,gh2kzpOFCeF,DHIS2
ken_2_304,2,,gU0Cz7Qlfss,DHIS2
ken_3_1,3,,PL9Y6PrB2oV,DHIS2
ken_3_2,3,,zxfCOXaz1ha,DHIS2
ken_3_3,3,,cgTC3oqgmKg,DHIS2
ken_3_4,3,,FrPqZ0quyrF,DHIS2
ken_3_5,3,,vH5k45ZRgZG,DHIS2
ken_3_6,3,,px49ejbHkuk,DHIS2
ken_3_7,3,,ddOJaw1OQwA,DHIS2
ken_3_8,3,,urcMYGpY3xy,DHIS2
ken_3_9,3,,IgadIOg14CX,DHIS2
ken_3_10,3,,aom47Uzq1RZ,DHIS2
ken_3_11,3,,L8VRh5JlUik,DHIS2
