|---------+-------------+-------------+---------------------------------------------|
| area_id |  dhis2_id   | admin_level |                    name                     |
|ben_4_164| x8La5M5R3tD |   admin_4   |Sérou                                        |
|ben_4_165| txjF2L1zUb3 |   admin_4   |Badazoui                                     |
|ben_4_166| RgV778Cd624 |   admin_4   |Dekanme (So-Ava)                             |
|ben_4_167| Ll7NaGI6BJh |   admin_4   |Savalou -Agbado                              |
|ben_4_168| Zc9nB89Nwh3 |   admin_4   |Djomon                                       |
|ben_4_169| StkmwNSNrkk |   admin_4   |Avame                                        |
|ben_4_170| SRwva6uGxEJ |   admin_4   |Barienou                                     |
|ben_4_171| QIAipcK6FMP |   admin_4   |Azowlisse                                    |
|ben_4_172| sJx5TWOpKE7 |   admin_4   |Allahe (Ar)                                  |
|ben_4_173| MPttyEGO4TY |   admin_4   |Don-Tan                                      |
|ben_4_174| XmIqnVoONEl |   admin_4   |Savi                                         |
|ben_4_175| bCTPiiMkhDW |   admin_4   |Save Plateau                                 |
|ben_4_176| QjOLcpENFCh |   admin_4   |Tchito                                       |
|ben_4_177| eJYh1jMZ5G2 |   admin_4   |Saclo                                        |
|ben_4_178| HpO2Hd1GESm |   admin_4   |Pira                                         |
|ben_4_179| WvzCSYDIcSJ |   admin_4   |Savalou-Aga                                  |
|ben_4_180| B2SuUP142AO |   admin_4   |Sado                                         |
|ben_4_181| sIfqWwqRQSG |   admin_4   |Sèmèrè II                                    |
|ben_4_182| K6yxHg8Qh2t |   admin_4   |Savalou -Attake                              |
|ben_4_183| FJj9SjYnW9J |   admin_4   |Dekanme (Kpomasse)                           |
|ben_4_184| Mg4k9DRm8yc |   admin_4   |Dedome                                       |
|ben_4_185| cMhkLqFJsSj |   admin_4   |Banikoara (Ar)                               |
|ben_4_186| NaHwHVB674M |   admin_4   |Donwari                                      |
|ben_4_187| vfhpnCRO44c |   admin_4   |Tampégré                                     |
|ben_4_188| vi9oLybuGad |   admin_4   |Aplahoué (Ar)                                |
|ben_4_189| P4EsJpMObdc |   admin_4   |Tanguieta (Ar)                               |
|ben_4_190| qWEUMtJ8UXT |   admin_4   |Avagbodji                                    |
|ben_4_191| TbJDQ5BtAi1 |   admin_4   |Dovi-Centre                                  |
|ben_4_192| Srh4ft1nmdG |   admin_4   |Togba                                        |
|ben_4_193| OwzOzlDLbxW |   admin_4   |Doutou                                       |
|ben_4_194| ss7kUoSD9a3 |   admin_4   |Toffo Ague                                   |
|ben_4_195| UwQmeb0Yf96 |   admin_4   |Tobre                                        |
|ben_4_196| K7aywmIrMzU |   admin_4   |Sakin                                        |
|ben_4_197| xbvqZqhvoAs |   admin_4   |Sakete II                                    |
|ben_4_198| zfLvOO7gbZ8 |   admin_4   |Sakete I                                     |
|ben_4_199| GdaxzktS3WJ |   admin_4   |Assante                                      |
|ben_4_200| VTbJTMbefaF |   admin_4   |Doume                                        |
|ben_4_201| foPVRoVvfnn |   admin_4   |Assalin                                      |
|ben_4_202| VCZEGn5edSE |   admin_4   |Togbota                                      |
|ben_4_203| csECjzGkJng |   admin_4   |Sam                                          |
|ben_4_204| vaCg9PwEA0B |   admin_4   |Togoudo                                      |
|ben_4_205| ajqzD54uzrS |   admin_4   |Pobè (Ar)                                    |
|ben_4_206| DUCf49MMV6E |   admin_4   |Taiakou                                      |
|ben_4_207| nWZDEnBTVKr |   admin_4   |Banigbé                                      |
|ben_4_208| sqh3o5DgTwY |   admin_4   |Banigbe (Ifangni)                            |
|ben_4_209| FM6j0RnG1iR |   admin_4   |Takon                                        |
|ben_4_210| kiLbPQPf8Id |   admin_4   |Anandama                                     |
|ben_4_211| E3ijz7Y67l4 |   admin_4   |Sahe                                         |
|ben_4_212| vZ35lnb1OdV |   admin_4   |Dévè                                         |
|ben_4_213| aRxEwAlNtu8 |   admin_4   |Tohoues                                      |
|ben_4_214| XHldXo1gynP |   admin_4   |Tohoue                                       |
|ben_4_215| f994BV6B0Xj |   admin_4   |Dékpo                                        |
|ben_4_216| iJMpeKpyiuW |   admin_4   |Tohou                                        |
|ben_4_217| OsQILLpIbe4 |   admin_4   |Dédékpoé                                     |
|ben_4_218| SaaVgfO8CRN |   admin_4   |Baname                                       |
|ben_4_219| nG2FPRysqIe |   admin_4   |Badjoude                                     |
|ben_4_220| JKowCETnEhP |   admin_4   |Angaradebou                                  |
|ben_4_221| ELUrybaCTfE |   admin_4   |Dunkassa                                     |
|ben_4_222| EYYiGZjuXcy |   admin_4   |Dahè                                         |
|ben_4_223| OwMsN67x0nD |   admin_4   |Azovè                                        |
|ben_4_224| JanidvNvmTE |   admin_4   |Saah                                         |
|ben_4_225| Mtbl9zcUVzW |   admin_4   |Sekere                                       |
|ben_4_226| GjDNE6509ZI |   admin_4   |Pélébina                                     |
|ben_4_227| S3HW0MCrZlv |   admin_4   |Dangbo (Ar)                                  |
|ben_4_228| YQu5oA956Pu |   admin_4   |Totchangni                                   |
|ben_4_229| D6tALi36Bgy |   admin_4   |Pénéssoulou                                  |
|ben_4_230| dmPSasgFeLv |   admin_4   |Akpro-Misserete (Ar)                         |
|ben_4_231| FXMeZwHQ6Br |   admin_4   |Djanglanmey                                  |
|ben_4_232| wgk08QTJkf8 |   admin_4   |Atchonsa                                     |
|ben_4_233| zvqbd4FShgp |   admin_4   |Dome                                         |
|ben_4_234| tDDUuuG1nz9 |   admin_4   |Awonou                                       |
|ben_4_235| MrzvsXtJblz |   admin_4   |Sehoun                                       |
|ben_4_236| JUcqSkI6CVm |   admin_4   |Sehoue                                       |
|ben_4_237| zPsWuuY5qtn |   admin_4   |Segbohoue                                    |
|ben_4_238| Vuu0pB3U5nd |   admin_4   |Segbeya                                      |
|ben_4_239| gQFkwnAcOEW |   admin_4   |Alafiarou                                    |
|ben_4_240| AgcZqb3vsvm |   admin_4   |Dan                                          |
|ben_4_241| B2Sirulw4gW |   admin_4   |Segbana (Ar)                                 |
|ben_4_242| xQIbFV53Bby |   admin_4   |Dame-Wogon                                   |
|ben_4_243| ZTvD2pVM8CH |   admin_4   |Atchoukpa                                    |
|ben_4_244| jTYMtw1bLEm |   admin_4   |Tantéga                                      |
|ben_4_245| x3ygYGOhbld |   admin_4   |Tangbo Djevie                                |
