"area_id","dhis2_id","pepfar_id","map_level","map_name"
"NGA_3_297",,"GxvqAACzQY4",2,"ed Etsako East "
"NGA_3_298",,"fYRobXvSy5e",2,"ed Etsako West"
"NGA_3_299",,"Ne0WWZQ8HJ5",2,"ed Igueben"
"NGA_3_300",,"n6VEZ4pTBrX",2,"ed Ikpoba-Okha"
"NGA_3_301",,"WOZEZlUXOvg",2,"ed Oredo"
"NGA_3_302",,"qkLeWHFPNM6",2,"ed Orhionmwon"
"NGA_3_303",,"X6OJDLsUnzI",2,"ed Ovia North-East"
"NGA_3_304",,"c8v5QxYg2ce",2,"ed Ovia South-West"
"NGA_3_305",,"bCyBh5BKp0Q",2,"ed Owan East"
"NGA_3_306",,"l5vfZdLFrQB",2,"ed Owan West"
"NGA_3_307",,"cgWurQSVEBH",2,"ed Uhunmwonde"
"NGA_3_308",,"ObllIYWxwRA",2,"ri Abua-Odual"
"NGA_3_309",,"GBwKRrWGuVY",2,"ri Ahoada East"
"NGA_3_310",,"Nd9sbZcqorj",2,"ri Ahoada West"
"NGA_3_311",,"gdQCMg31viH",2,"ri Akuku Toru"
"NGA_3_312",,"pp8zV2OXmvU",2,"ri Andoni"
"NGA_3_313",,"SExBRzuDiYb",2,"ri Asari-Toru"
"NGA_3_314",,"kyuGgrpjwZF",2,"ri Bonny"
"NGA_3_315",,"O9l6BemolrN",2,"ri Degema"
"NGA_3_316",,"UdnUbXV7O9o",2,"ri Eleme"
"NGA_3_317",,"UGwCX5IBQQj",2,"ri Emohua"
"NGA_3_318",,"y5pPli7WP1V",2,"ri Etche"
"NGA_3_319",,"N0dXOBSVO7k",2,"ri Gokana"
"NGA_3_320",,"SL33bchlaKT",2,"ri Ikwerre"
"NGA_3_321",,"sZumF7t54ek",2,"ri Khana"
"NGA_3_322",,"QUXP7f16K3Z",2,"ri Obio-Akpor"
"NGA_3_323",,"xZFseUogJWo",2,"ri Ogba-Egbema-Ndoni"
"NGA_3_324",,"wXnjvr9p2zU",2,"ri Ogu-Bolo"
"NGA_3_325",,"nNo5gV3to2B",2,"ri Okrika"
"NGA_3_326",,"xdzbsxe1MQa",2,"ri Omumma"
"NGA_3_327",,"RgaAXlRX33Y",2,"ri Opobo-Nkoro"
"NGA_3_328",,"I0tQo5iW5NZ",2,"ri Oyigbo"
"NGA_3_329",,"y3iWYd0poWG",2,"ri Port-Harcourt"
"NGA_3_330",,"tFy20OB0Wyw",2,"ri Tai "
"NGA_3_331",,"qRUSFz9WFB6",2,"be Ado"
"NGA_3_332",,"lUn6tmhyebg",2,"be Agatu"
"NGA_3_333",,"OG6fY4TsvRM",2,"be Apa"
"NGA_3_334",,"QBFbFh5zJWX",2,"be Buruku"
"NGA_3_335",,"i0MUgv6vIAM",2,"be Gboko"
"NGA_3_336",,"YbtVeNOCICl",2,"be Guma"
"NGA_3_337",,"PJJsxvEhEW5",2,"be Gwer East"
"NGA_3_338",,"bU41bAD1r84",2,"be Gwer West"
"NGA_3_339",,"DluyXbyv63Q",2,"be Katsina-Ala"
"NGA_3_340",,"gpgLJrma8Tm",2,"be Konshisha"
"NGA_3_341",,"v7xGqiid6Pg",2,"be Kwande"
"NGA_3_342",,"ZewNOZ5xMp9",2,"be Logo"
"NGA_3_343",,"Q2Gb99dokfK",2,"be Makurdi"
"NGA_3_344",,"PuJqb4zMn4A",2,"be Obi"
"NGA_3_345",,"TaAqWZoyAof",2,"be Ogbadibo"
"NGA_3_346",,"nWLwNNNzJ7N",2,"be Ohimini"
"NGA_3_347",,"L9g3RB3Jqy3",2,"be Oju"
"NGA_3_348",,"Sf0fPuVTEf1",2,"be Okpokwu"
"NGA_3_349",,"RM45QszoeEi",2,"be Otukpo"
"NGA_3_350",,"eFnaQTWW1DC",2,"be Tarka"
"NGA_3_351",,"cvkiCumu2an",2,"be Ukum"
"NGA_3_352",,"apUWJiF9sQ2",2,"be Ushongo"
"NGA_3_353",,"FJ28GRyMVq9",2,"be Vandeikya"
"NGA_3_354",,"nX918whVxYP",2,"fc Abaji"
"NGA_3_355",,"uosU9sINAPe",2,"fc Abuja Municipal Area Council"
"NGA_3_356",,"JkmyrqDGshk",2,"fc Bwari"
"NGA_3_357",,"V91ICEXLeks",2,"fc Gwagwalada"
"NGA_3_358",,"qK6jo6jLIav",2,"fc Kuje"
"NGA_3_359",,"sQbPVIKsxwT",2,"fc Kwali"
"NGA_3_360",,"WK5gDvZgOD6",2,"ko Adavi"
"NGA_3_361",,"xJy5KJJn8gz",2,"ko Ajaokuta"
"NGA_3_362",,"logPshzwZGg",2,"ko Ankpa"
"NGA_3_363",,"merMznnVwIA",2,"ko Bassa"
"NGA_3_364",,"OQ5fZjjCoDR",2,"ko Dekina"
"NGA_3_365",,"cNr80ZanaDp",2,"ko Ibaji"
